issue_key,article_key,contents_labels
/nature/volumes/587/issues/7833,/articles/d41586-020-03081-y,Editorial
/nature/volumes/587/issues/7833,/articles/d41586-020-03130-6,World View
/nature/volumes/587/issues/7833,/articles/d41586-020-03104-8,Research Highlight
/nature/volumes/587/issues/7833,/articles/d41586-020-03079-6,Research Highlight
/nature/volumes/587/issues/7833,/articles/d41586-020-03078-7,Research Highlight
/nature/volumes/587/issues/7833,/articles/d41586-020-03103-9,Research Highlight
/nature/volumes/587/issues/7832,/articles/d41586-020-02853-w,Editorial
/nature/volumes/587/issues/7832,/articles/d41586-020-03080-z,Editorial
/nature/volumes/587/issues/7832,/articles/d41586-020-03082-x,World View
/nature/volumes/587/issues/7832,/articles/d41586-020-03041-6,Research Highlight
/nature/volumes/587/issues/7832,/articles/d41586-020-03029-2,Research Highlight
/nature/volumes/587/issues/7832,/articles/d41586-020-03037-2,Research Highlight
/nature/volumes/587/issues/7832,/articles/d41586-020-03015-8,Research Highlight
/nature/volumes/586/issues/7831,/articles/d41586-020-03027-4,Editorial
/nature/volumes/586/issues/7831,/articles/d41586-020-03028-3,Editorial
/nature/volumes/586/issues/7831,/articles/d41586-020-02698-3,World View
/nature/volumes/586/issues/7831,/articles/d41586-020-02954-6,Research Highlight
/nature/volumes/586/issues/7831,/articles/d41586-020-02955-5,Research Highlight
/nature/volumes/586/issues/7831,/articles/d41586-020-02936-8,Research Highlight
/nature/volumes/586/issues/7831,/articles/d41586-020-02956-4,Research Highlight
/nature/volumes/586/issues/7830,/articles/d41586-020-02943-9,Editorial
/nature/volumes/586/issues/7830,/articles/d41586-020-02944-8,World View
/nature/volumes/586/issues/7830,/articles/d41586-020-02894-1,Research Highlight
/nature/volumes/586/issues/7830,/articles/d41586-020-02911-3,Research Highlight
/nature/volumes/586/issues/7830,/articles/d41586-020-02902-4,Research Highlight
/nature/volumes/586/issues/7830,/articles/d41586-020-02892-3,Research Highlight
/nature/volumes/586/issues/7829,/articles/d41586-020-02852-x,Editorial
/nature/volumes/586/issues/7829,/articles/d41586-020-02849-6,Editorial
/nature/volumes/586/issues/7829,/articles/d41586-020-02854-9,World View
