article_key,title,topic,citation,doi
/articles/d41586-020-03104-8,The big-game hunter buried in an ancient grave: a female teenager,Archaeology,Sci. Adv. (2020),https://doi.org/10.1126/sciadv.abd0310
/articles/d41586-020-03079-6,A DNA voltmeter exposes a cell’s electric inner life,Nanoscience and technology,Nature Nano. (2020),https://doi.org/10.1038/s41565-020-00784-1
/articles/d41586-020-03078-7,India’s countryside offers no refuge from filthy air,Environmental sciences,Proc. Natl Acad. Sci. USA (2020),https://doi.org/10.1073/pnas.2007236117
/articles/d41586-020-03103-9,The record-setting flight of a bat that weighs less than a toothbrush,Animal behaviour,Mammalia (2020),https://doi.org/10.1515/mammalia-2020-0069
/articles/d41586-020-03041-6,How octopuses taste with their arms — all eight of them,Neuroscience,Cell (2020),https://doi.org/10.1016/j.cell.2020.09.008
/articles/d41586-020-03029-2,How to make violently reactive metals and watch them grow,Materials science,Nat. Commun. (2020),https://doi.org/10.1038/s41467-020-19206-w
/articles/d41586-020-03037-2,Thrifty bacteria thrive on something in the air,Synthetic biology,eLife (2020),https://doi.org/10.7554/eLife.59882
/articles/d41586-020-03015-8,Pet cemeteries show faith that good dogs go to heaven,Archaeology,Antiquity (2020),https://doi.org/10.15184/aqy.2020.191
/articles/d41586-020-02954-6,The timestamp that can tell an RNA molecule’s age — to the hour,Biotechnology,Nature Biotechnol. (2020),https://doi.org/10.1038/s41587-020-0704-z
/articles/d41586-020-02955-5,The volcanic debris that buried Pompeii wreaks further destruction,Chemistry,Angew. Chem. Int. Edn (2020),https://doi.org/10.1002/anie.202010497
/articles/d41586-020-02936-8,A dead end on the way to the sky,Palaeontology,iScience (2020),https://doi.org/10.1016/j.isci.2020.101574
/articles/d41586-020-02956-4,Brrrr! ‘Supercooled’ waters make nearby Antarctic seas seem balmy,Ocean sciences,Geophys. Res. Lett. (2020),https://doi.org/10.1029/2020GL090242
/articles/d41586-020-02894-1,Famed geyser Old Faithful went quiet in drought’s grip,Hydrology,Geophys. Res. Lett. (2020),https://doi.org/10.1029/2020GL089871
/articles/d41586-020-02911-3,Why Borneo’s trees are the loftiest on Earth,Ecology,Biotropica (2020),https://doi.org/10.1111/btp.12850
/articles/d41586-020-02902-4,A nanomachine makes light work,Optics and photonics,Optica (2020),https://doi.org/10.1364/OPTICA.396147
/articles/d41586-020-02892-3,Taste test: how mosquitoes tell nectar from human blood,Neuroscience,Neuron (2020),https://doi.org/10.1016/j.neuron.2020.09.019
/articles/d41586-020-02834-z,Why Facebook users might want to show their true colours,Psychology,Nature Commun. (2020),https://doi.org/10.1038/s41467-020-18539-w
/articles/d41586-020-02833-0,A promising 3D-printing method gets flexible,Materials science,Adv. Mat. (2020),https://doi.org/10.1002/adma.202003376
/articles/d41586-020-02832-1,Can’t smell stinky fish? It might be in your genes,Genetics,Curr. Biol. (2020),https://doi.org/10.1016/j.cub.2020.09.012
/articles/d41586-020-02771-x,The grim truth behind eyewitness accounts of sea serpents ,Fisheries,Fish Fish. (2020),https://doi.org/10.1111/faf.12505
/articles/d41586-020-02737-z,No vehicle means a hard road to health care for millions of people,Health care,Nature Med. (2020),https://doi.org/10.1038/s41591-020-1059-1
/articles/d41586-020-02777-5,A bustling town’s annihilation is frozen in time,Archaeology,Antiquity (2020),https://doi.org/10.15184/aqy.2020.161
/articles/d41586-020-02792-6,The odd couple: how a pair of mismatched black holes formed,Astronomy and astrophysics,Astrophys. J. Lett. (2020),https://doi.org/10.3847/2041-8213/abb5b5
/articles/d41586-020-02711-9,Twitter followers’ details reveal the power of a paper,Society,PLoS Biol. (2020),https://doi.org/10.1371/journal.pbio.3000860
/articles/d41586-020-02723-5,A robot triumphs in a curling match against elite humans,Technology,Sci. Robotics (2020),https://doi.org/10.1126/scirobotics.abb9764
/articles/d41586-020-02701-x,A smiling whale makes a record deep dive,Zoology,J. Exp. Biol. (2020),https://doi.org/10.1242/jeb.222109
/articles/d41586-020-02689-4,A frozen land goes green as Earth warms,Climate change,Nature Commun. (2020),https://doi.org/10.1038/s41467-020-18479-5
/articles/d41586-020-02631-8,Exhausted neurons help make time seem ... to ... drag,Neuroscience,J. Neurosci. (2020),https://doi.org/10.1523/JNEUROSCI.0078-20.2020
/articles/d41586-020-02630-9,Ancient tax collectors amassed a fortune — until it went up in smoke,Archaeology,Antiquity (2020),https://doi.org/10.15184/aqy.2020.172
/articles/d41586-020-02668-9,How the giant stinging tree of Australia can inflict months of agony,Biochemistry,Sci. Adv. (2020),https://doi.org/10.1126/sciadv.abb8828
/articles/d41586-020-02632-7,Fleece garments are cosy — but pollute land as well as water,Environmental sciences,PLoS One (2020),https://doi.org/10.1371/journal.pone.0237839
/articles/d41586-020-02593-x,Etched for success: the ‘tattoos’ that could help crops to survive polluted air,Plant sciences,Sci. Adv. (2020),https://doi.org/10.1126/sciadv.abc3296
/articles/d41586-020-02584-y,Why some of the world’s zippiest birds go stiff and cold every night,Zoology,Biol. Lett. (2020),https://doi.org/10.1098/rsbl.2020.0428
/articles/d41586-020-02560-6,Shrinking glaciers lead to growing lakes — and growing risks,Climate change,Nature Clim. Change (2020),https://doi.org/10.1038/s41558-020-0855-4
/articles/d41586-020-02609-6,Gigantic clusters of galaxies pose a new dark-matter puzzle,Cosmology,Science (2020),https://doi.org/10.1126/science.aax5164
/articles/d41586-020-02539-3,These ‘tweezers’ made of light gently grasp and move a single protein,Nanoscience and technology,Nature Nanotechnol. (2020),https://doi.org/10.1038/s41565-020-0760-z
/articles/d41586-020-02514-y,The violent blasts that can add to an avalanche’s devastation,Geology,Geol. Soc. Am. Bull. (2020),https://doi.org/10.1130/B35531.1
/articles/d41586-020-02529-5,Why some animals have the power of regeneration,Regeneration,Science (2020),https://doi.org/10.1126/science.aaz3090
/articles/d41586-020-02509-9,An ancient whistle was crafted from a human thigh bone,Archaeology,Antiquity (2020),https://doi.org/10.15184/aqy.2020.152
/articles/d41586-020-02467-2,The eruption that helped to destroy one of China’s great dynasties,Climate sciences,Geophys. Res. Lett. (2020),https://doi.org/10.1029/2020GL088124
/articles/d41586-020-02468-1,An elephant-nosed creature ‘lost to science’ was living just next door,Zoology,PeerJ (2020),https://doi.org/10.7717/peerj.9652
/articles/d41586-020-02482-3,Microbes with mettle build their own electrical ‘wires’,Chemistry,Energy Environ. Sci. (2020),https://doi.org/10.1039/d0ee01281e
/articles/d41586-020-02485-0,The brain circuit that encourages eating for pleasure,Neuroscience,Cell (2020),https://doi.org/10.1016/j.cell.2020.07.031
/articles/d41586-020-02436-9,An extinct reptile’s last meal shows it was a grip-and-tear killer,Palaeontology,iScience (2020),https://doi.org/10.1016/j.isci.2020.101347
/articles/d41586-020-02413-2,Electricity is achieved drop by drop,Applied physics,Phys. Rev. Lett. (2020),https://doi.org/10.1103/PhysRevLett.125.078301
/articles/d41586-020-02444-9,Bustling seascapes risk collapse as the climate changes,Ocean sciences,Science (2020),https://doi.org/10.1126/science.aax0621
/articles/d41586-020-02435-w,Medical bias poses a deadly threat for Black babies,Society,Proc. Natl Acad. Sci. USA (2020),https://doi.org/10.1073/pnas.1913405117
/articles/d41586-020-02377-3,Self-interest powers decision to go solar,Human behaviour,Proc. Natl Acad. Sci. USA (2020),https://doi.org/10.1073/pnas.2004428117
/articles/d41586-020-02346-w,Satellites find penguins by following the poo,Ecology,Remote Sens. Ecol. Conserv. (2020),https://doi.org/10.1002/rse2.176
/articles/d41586-020-02349-7,Fats in the blood linked to autism,Genomics,Nature Med. (2020),https://doi.org/10.1038/s41591-020-1007-0
/articles/d41586-020-02348-8,Deep learning deciphers images made with sound,Applied physics,Phys. Rev. X (2020),https://doi.org/10.1103/PhysRevX.10.031029
/articles/d41586-020-02295-4,A killer parasite shows signs of drug resistance in Africa,Medical research,Nature Med. (2020),https://doi.org/10.1038/s41591-020-1005-2
/articles/d41586-020-02296-3,Seismic sensors look skywards — and capture dazzling auroras ,Geophysics,Seismol. Res. Lett. (2020),https://doi.org/10.1785/0220200161
/articles/d41586-020-02323-3,Ultra-fluorescent dyes give objects an eye-popping glow,Materials science,Chem (2020),https://doi.org/10.1016/j.chempr.2020.06.029
/articles/d41586-020-02313-5,Parents’ desire for one boy and one girl pushed trend in family patterns,Human behaviour,Curr. Biol. (2020),https://doi.org/10.1016/j.cub.2020.07.040
/articles/d41586-020-02262-z,The particle accelerator that’s serious about recycling,Particle physics,Phys. Rev. Lett. (2020),https://doi.org/10.1103/PhysRevLett.125.044803
/articles/d41586-020-02242-3,A CRISPR first produces squid as clear as glass,CRISPR-Cas9 genome editing,Curr. Biol. (2020),https://doi.org/10.1016/j.cub.2020.06.099
/articles/d41586-020-02263-y,Gut microbes and stress team up to make a painful disease worse,Microbiome,Immunity (2020),https://doi.org/10.1016/j.immuni.2020.06.025
/articles/d41586-020-02255-y,This super ‘sponge’ releases steam when the Sun shines,Materials science,Ang. Chemie. Int. Ed. (2020),https://doi.org/10.1002/anie.202007885
/articles/d41586-020-02184-w,"This temple was equipped with accessibility ramps more than 2,000 years ago",Archaeology,Antiquity (2020),https://doi.org/10.15184/aqy.2020.123
/articles/d41586-020-02198-4,Why COVID-19 made weather forecasts less reliable,Climate sciences,Geophys. Res. Lett. (2020),https://doi.org/10.1029/2020GL088613
/articles/d41586-020-02180-0,How mosquitoes evolved to crave human blood,Ecology,Curr. Biol. (2020),https://doi.org/10.1016/j.cub.2020.06.092
/articles/d41586-020-02201-y,A gene helps women in labour to skip the painkillers ,Neuroscience,Cell Rep. (2020),https://doi.org/10.1016/j.celrep.2020.107941
/articles/d41586-020-02135-5,Huge virus’s mini-enzymes boost CRISPR’s powers,CRISPR-Cas9 genome editing,Science (2020),https://doi.org/10.1126/science.abb1400
/articles/d41586-020-02080-3,How to use a live pig to revitalize a human lung ,Medical research,Nature Med. (2020),https://doi.org/10.1038/s41591-020-0971-8
/articles/d41586-020-02103-z,"How frogs became green — again, and again, and again",Evolution,Proc. Natl Acad. Sci. USA (2020),https://doi.org/10.1073/pnas.2006771117
/articles/d41586-020-02104-y,Extreme Arctic waves set to hit new heights,Ocean sciences,J. Geophys. Res. Oceans (2020),https://doi.org/10.1029/2019JC015745
/articles/d41586-020-02031-y,Why ancient people pushed deep into Mexico’s pitch-black caverns,Archaeology,Sci. Adv. (2020),https://doi.org/10.1126/sciadv.aba1219
/articles/d41586-020-02068-z,Blood from fit mice bestows brain benefits of exercise,Neurodegeneration,Science (2020),https://doi.org/10.1126/science.aaw2622
