editorial_key,highlight_key,title,editor,topic,ref,doi
/content/307/5706/twil,/sci/307/5706/18.1.full.html,Early Toolmakers,NA,Paleontology,"Geol. Soc. Am. Bull. 116, 1529 (2004)",NA
/content/307/5706/twil,/sci/307/5706/18.2.full.html,Treating Disease with Worms,NA,Immunology,"Gut 54, 87 (2005)",NA
/content/307/5706/twil,/sci/307/5706/18.2.full.html,Treating Disease with Worms,NA,Immunology,"Eur. J. Immunol. 34, 2690 (2004)",NA
/content/307/5706/twil,/sci/307/5706/18.3.full.html,Nothing in Common,NA,Evolution,"Paleobiology 30, 522 (2004)",NA
/content/307/5706/twil,/sci/307/5706/18.4.full.html,Almost as Bright,NA,Chemistry,Nano Lett. 10.1021/nl0482478 (2004),10.1021/nl0482478
/content/307/5706/twil,/sci/307/5706/18.5.full.html,Urban Hazards,NA,Seismology,"Seismol. Res. Lett. 75, 706 (2004)",NA
/content/307/5706/twil,/sci/307/5706/19.1.full.html,Quick-Drying Foam,NA,Biochemistry,"J. Exp. Biol. 207, 4727 (2004)",NA
/content/307/5706/twil,/sci/307/5706/19.2.full.html,Fighting Arrhythmias,NA,Medicine,"N. Engl. J. Med. 351, 2481 (2004)",NA
/content/307/5706/twil,/sci/307/5706/19.2.full.html,Fighting Arrhythmias,NA,Medicine,"JAMA 292, 2874",NA
/content/307/5707/twil,/sci/307/5707/182.1.full.html,Chip-Scale Magnetic Measurements,Ian S. Osborne,Applied Physics,"Appl. Phys. Lett. 85, 6409 (2004)",NA
/content/307/5707/twil,/sci/307/5707/182.2.full.html,Making Memories,Stella M. Hurtley,Neuroscience,"Neuron 44, 997 (2004)",NA
/content/307/5707/twil,/sci/307/5707/182.3.full.html,Twinned Thinning,H. Jesse Smith,Climate Science,"Geophys. Res. Lett. 31, 10.1029/2004GL021106; 10.1029/2004GL021284 (2004)",10.1029/2004GL021106
/content/307/5707/twil,/sci/307/5707/182.4.full.html,Maintaining Chains,Phillip D. Szuromi,Chemistry,"J. Am. Chem. Soc. 126, 16672 (2004)",NA
/content/307/5707/twil,/sci/307/5707/183.1.full.html,Eats Roots or Shoots,Andrew M. Sugden,Ecology/Evolution,"Ecol. Lett. 8, 30 (2005)",NA
/content/307/5707/twil,/sci/307/5707/183.2.full.html,Library Science,Gilbert J. Chin,Biotechnology,"Nature Biotechnol. 23, 88 (2005)",NA
/content/307/5707/twil,/sci/307/5707/183.3.full.html,Specificity Through Degradation,Nancy Gough,Stke,"Cell 119, 981 (2004)",NA
/content/307/5708/twil,/sci/307/5708/319.1.full.html,Parental Contributions in Elephants,NA,Genetics,"Nature Genet. 37, 96 (2005)",NA
/content/307/5708/twil,/sci/307/5708/319.2.full.html,Breaking and Entering,NA,Microbiology,"J. Exp. Med. 201, 27 (2005)",NA
/content/307/5708/twil,/sci/307/5708/319.3.full.html,Disordered Strain,NA,Materials Science,"Nature Mater. 4, 33 (2005)",NA
